,Portfolio,cumulative_returns,cumulative_returns_non_market,cagr,cagr_non_market,vol,vol_non_market,mdd,mdd_non_market,sharpe_ratio,sharpe_ratio_non_market
0,"EWY, IVE, IVE, VWO, AGG, Cash",22.1597957,10.607869,6.893097293,3.414640083,11.96922007,14.66439919,-13.73124894,-27.93361288,0.57590196,0.232852368
1,"SHY, QQQ, EEM, EEM, TIP, Cash",7.54780907,24.43754779,2.450634161,7.545632398,14.29935762,16.2424677,-23.93882242,-29.26556362,0.171380717,0.464561946
2,"TLT, IVE, VTI, IEF, VGK, Cash",83.4708076,69.61541344,22.37578288,19.21996452,11.63653958,17.6041992,-9.526246867,-14.73855131,1.922889766,1.091782949
3,"SCZ, EEM, EWY, EWY, EWY, Cash",26.47699626,26.35217408,8.128917042,8.093398808,16.80942674,16.92446822,-18.04379725,-23.2056931,0.483592758,0.478206978
4,"SCZ, DBC, IWN, VNQ, DBC, Cash",27.2980998,34.80714326,8.361981555,10.44824167,17.18108689,18.31495616,-24.39345928,-23.22604093,0.48669689,0.570475931
5,"VWO, TIP, VTI, GSG, IEF, Cash",3.833375567,3.557427048,1.259488523,1.169869843,14.18349749,13.8100897,-23.28234349,-25.94496874,0.088799573,0.084711241
6,"VNQ, EWY, BND, SPY, SPY, Cash",45.68661268,36.85473998,13.33757136,11.00361958,17.79929779,25.08194524,-21.04710749,-35.62113715,0.749331323,0.438706786
7,"VWO, SCZ, EEM, VEU, IWM, Cash",46.46134547,36.16642422,13.53775265,10.8175474,21.72981725,21.4418592,-28.51552166,-25.68315955,0.623003521,0.504506037
8,"AGG, HYG, DBC, SCZ, EFA, Cash",19.61977079,33.17728012,6.147717332,10.01169851,16.43601769,16.46142263,-14.20431399,-20.63974147,0.374039348,0.608191572
9,"VEA, IWN, SPY, VGK, TLT, Cash",-10.4734645,-14.34208246,-3.614184558,-5.020467189,13.17038244,20.0410368,-27.71097231,-42.35399786,-0.274417586,-0.250509354
10,"EWH, VEU, VWO, VWO, LQD, Cash",-6.137538884,11.72707684,-2.085420545,3.758466712,15.86780797,18.0417763,-32.67423046,-35.37949484,-0.131424614,0.208320215
11,"IVE, QQQ, VEA, GSG, LQD, Cash",24.85778568,27.96556795,7.666339851,8.550699676,9.229790984,10.86264861,-7.528436876,-8.47803052,0.830608176,0.787165266
12,"EWH, IWM, EEM, BND, DBC, Cash",27.95621194,52.27621563,8.556182789,15.0328324,19.01163346,19.12391125,-23.67866409,-16.97856899,0.45004985,0.786075202
13,"QQQ, IWM, EFA, SPY, GSG, Cash",-9.44503607,46.45222631,-3.247185832,13.53540049,15.39618071,14.07685633,-21.63144403,-16.75562304,-0.210908529,0.961535742
14,"IWN, VEA, VTI, SCZ, IWM, Cash",37.89915425,48.86204915,11.28476681,14.15361267,13.14846892,13.46079034,-17.82153339,-16.00149204,0.8582571,1.051469662
15,"VEU, SCZ, IEF, VGK, IVE, Cash",40.11476382,41.5574285,11.88797537,12.27032611,16.27486568,16.36316532,-23.73202468,-29.26723495,0.730449984,0.749874848
16,"EWY, GSG, LQD, TIP, GLD, Cash",11.78078639,25.6619164,3.775060029,7.896561604,14.32017848,14.19633176,-20.33365954,-23.73507085,0.263618225,0.556239579
17,"EEM, IWN, VEA, IWM, GLD, Cash",6.980088884,1.943592221,2.270373853,0.64253419,14.45154659,14.04085674,-18.80818332,-29.28366657,0.157102483,0.045761751
18,"GSG, TLT, IWN, EWH, EWJ, Cash",24.14470288,47.84526089,7.468411811,13.90710776,18.17225343,20.97073733,-23.36707204,-28.49942289,0.41097885,0.663167324
19,"GLD, EFA, VEA, SCZ, EEM, Cash",-0.166435654,36.09910393,-0.055408184,10.79931506,16.60737777,15.89930316,-25.41629379,-13.21411666,-0.00333636,0.679231973
20,"EWH, IVE, VTI, AGG, GLD, Cash",3.686307156,-4.415397369,1.212857804,-1.49265566,13.1888476,13.71063836,-28.67349748,-32.83786668,0.091960863,-0.108868429
21,"TLT, LQD, IWM, QQQ, VTI, Cash",48.84083286,16.5420201,14.16198183,5.230256134,11.15788787,12.55004061,-12.55394716,-14.24584002,1.269235003,0.416752128
22,"TLT, AGG, VWO, IWM, SPY, Cash",4.393103082,1.618259262,1.440782008,0.535555096,13.39125683,12.46785407,-24.45522275,-15.08686244,0.107591246,0.042954874
23,"IEF, VEA, BND, GSG, GSG, Cash",26.14095564,34.09282708,8.033243094,10.25317099,13.13183835,13.6256888,-13.40543262,-12.58859192,0.611737891,0.752488269
24,"QQQ, BND, VEU, SHY, TIP, Cash",7.725182682,15.74559399,2.506822929,4.985558564,11.91005858,13.75025659,-17.94418052,-25.26126608,0.210479479,0.362579311
25,"AGG, TLT, AGG, GLD, QQQ, Cash",17.68155978,33.2757484,5.566591937,10.02918509,15.37460433,15.3776239,-16.8898134,-20.50986144,0.362064078,0.652193418
26,"LQD, QQQ, VNQ, HYG, EWY, Cash",21.2105452,6.056170437,6.609530941,1.975645193,12.53008026,12.67269859,-13.20227364,-23.30086847,0.527493105,0.15589775
27,"SPY, LQD, VEU, EWJ, DBC, Cash",50.76314603,52.42084412,14.65090956,15.06920618,17.92117486,16.80749223,-15.57600347,-24.44715163,0.81751948,0.896576715
28,"EWJ, HYG, EEM, EWJ, SCZ, Cash",-4.701024485,-1.425656513,-1.589345747,-0.476626756,16.69408947,16.67599135,-27.67789864,-27.58355417,-0.095204099,-0.028581614
29,"BND, VEU, VEA, SHY, DBC, Cash",7.756837949,9.370806843,2.519169331,3.028009022,11.10899072,9.55549224,-27.40166465,-20.29819779,0.226768515,0.316886765
30,"EFA, IWM, VTI, BND, AGG, Cash",38.28847878,21.81717742,11.40016864,6.793161549,11.22674081,11.84657852,-12.13413531,-17.19345049,1.015447745,0.573428145
31,"GLD, VNQ, EWY, GLD, IVE, Cash",2.512904363,3.305707753,0.82995372,1.088978978,13.40686273,12.31828359,-18.1724965,-15.47449449,0.06190514,0.088403467
32,"IWM, HYG, QQQ, IWN, SHY, Cash",-5.057135857,18.09496856,-1.711854805,5.689838752,14.88897893,14.01566942,-24.02757828,-21.12362636,-0.114974627,0.405962682
33,"TIP, EEM, IEF, EWJ, EWY, Cash",1.28261248,30.2622202,0.425333267,9.203838715,14.6223676,15.95623048,-16.72451649,-11.34057771,0.029087852,0.57681786
34,"GLD, BND, IWN, TIP, AGG, Cash",13.0912725,43.93271257,4.178290607,12.88174655,16.05581683,16.54652413,-23.61611926,-24.25345918,0.260235319,0.778516771
35,"VWO, VNQ, AGG, TIP, EFA, Cash",16.61946891,14.56980682,5.248627664,4.629502969,13.29678374,11.25813225,-15.03803794,-13.42256079,0.394729114,0.411214122
36,"VNQ, TIP, IEF, AGG, IWN, Cash",0.286518368,5.083874016,0.095327954,1.665158435,10.55249728,10.84923996,-12.75422687,-16.05694884,0.009033687,0.153481575
37,"VWO, EWH, VNQ, IWM, LQD, Cash",-3.713552097,17.18581732,-1.251226647,5.418417998,16.26099354,23.96275868,-30.05594032,-36.84899153,-0.076946507,0.226118289
38,"EFA, EWH, VTI, TIP, SHY, Cash",14.70562008,39.83202377,4.67075456,11.80135316,11.91651268,15.10447146,-17.09254786,-23.07676367,0.391956496,0.781315201
39,"LQD, AGG, VNQ, EEM, VTI, Cash",38.70627551,44.64714632,11.50106505,13.0678672,9.84753333,10.40867989,-8.72574191,-8.148021056,1.16791329,1.255477864
40,"EEM, VTI, GSG, DBC, TLT, Cash",-5.181963703,0.521747485,-1.754870518,0.173297435,12.64160093,13.80250015,-30.63041898,-26.43227916,-0.138817111,0.01255551
41,"IVE, LQD, BND, EWH, VEA, Cash",30.97192917,34.09862798,9.392663545,10.25475793,12.30764366,15.50611182,-13.99616044,-16.05779813,0.76315693,0.661336514
42,"EWY, VWO, QQQ, VEU, HYG, Cash",23.04741083,13.50984498,7.144386199,4.306426124,19.32286396,20.90886354,-30.42236965,-28.96718329,0.369737437,0.20596175
43,"EWY, AGG, VEU, IWN, IWN, Cash",27.40294209,61.87132359,8.391668019,17.38056338,15.98690966,18.7194542,-17.71265126,-27.29867827,0.524908703,0.928475969
44,"SCZ, VTI, EWH, LQD, IVE, Cash",18.15279109,21.74188052,5.707054036,6.764796977,15.83257521,17.09838005,-22.96587224,-27.32630766,0.360462778,0.395639643
45,"EFA, EEM, IWN, AGG, QQQ, Cash",19.86425296,19.22289691,6.214075477,6.024642867,16.95713379,19.91245836,-24.73978227,-26.65833766,0.36645789,0.302556458
46,"IWM, TIP, GSG, EWJ, TLT, Cash",-2.271861555,23.76649551,-0.761709592,7.352316777,13.81144393,17.2785866,-34.7163791,-35.46227415,-0.055150612,0.425516099
47,"VTI, DBC, GSG, EEM, VEA, Cash",25.24702139,7.455770334,7.785266741,2.423689491,12.58701462,12.74377366,-10.43667299,-15.65709626,0.618515746,0.190186169
48,"VNQ, EWJ, IWM, EWH, SCZ, Cash",36.31565533,34.6562036,10.85794219,10.40707954,19.2251442,19.75465827,-26.98085335,-24.12061048,0.564778192,0.52681648
49,"IVE, BND, IWM, BND, VGK, Cash",27.80604429,47.72926745,8.505656234,13.86384895,15.87116786,17.58781434,-12.64015823,-14.0038509,0.535918737,0.788264459
50,"VTI, VGK, DBC, TLT, IWN, Cash",-1.566114817,22.54882568,-0.523833216,6.99973882,15.52758556,18.85930641,-35.47635135,-39.8307784,-0.033735652,0.371155687
51,"BND, EWH, VWO, EWH, VEU, Cash",-0.283736806,18.46421951,-0.094496015,5.799677908,14.41206282,16.71470579,-17.86157492,-25.98715906,-0.006556731,0.346980556
52,"GLD, QQQ, EFA, BIL, EEM, Cash",7.810458656,5.886664009,2.536155797,1.923156924,18.39538429,17.98407649,-29.65895342,-26.8391033,0.137869139,0.106936652
53,"DBC, LQD, DBC, HYG, AGG, Cash",-27.02508865,-10.32914941,-9.951943499,-3.56251605,9.52083138,8.927367981,-38.50493312,-26.25833287,-1.045280932,-0.399055585
54,"VNQ, SCZ, SHY, IWM, QQQ, Cash",10.21996963,21.25338063,3.29066655,6.622065057,14.96624009,14.64654186,-27.48800589,-18.52005728,0.219872629,0.452124817
55,"TIP, VNQ, EFA, VTI, SCZ, Cash",60.82850879,46.4599687,17.1284154,13.53739754,11.1484922,11.52093298,-12.11681411,-10.72950202,1.536388517,1.175026151
56,"VEA, EWJ, VEA, SPY, VWO, Cash",10.39584985,31.12111751,3.34547821,9.43410797,18.30571848,19.93447169,-23.32777173,-16.54358218,0.182755908,0.473255982
57,"LQD, VEA, EFA, GSG, GSG, Cash",2.414167793,26.63437562,0.796871026,8.173666123,11.85415159,11.15583646,-29.6734164,-15.7509243,0.067222949,0.732680705
58,"EWH, SPY, GSG, DBC, SPY, Cash",12.93471516,17.95439743,4.13028317,5.647963564,23.38574954,19.80324424,-36.13351062,-44.67918507,0.176615386,0.285203954
59,"SCZ, DBC, VEU, SHY, BND, Cash",16.19037481,30.78878813,5.119619242,9.341743988,11.19351914,12.2572311,-13.06700097,-12.9231637,0.457373519,0.762141458
60,"SHY, VEA, VEA, TLT, IWM, Cash",65.6174539,67.97478932,18.27752092,18.8350309,14.73645094,19.82838211,-11.74528577,-16.52070557,1.240293269,0.949902559
61,"EWJ, AGG, IEF, EFA, SPY, Cash",50.31901145,37.4017865,14.52414614,11.1510576,11.76842152,15.39093857,-9.286839863,-18.07273404,1.234162637,0.724520961
62,"IWM, AGG, HYG, EEM, SCZ, Cash",19.08922826,38.45206001,5.985076564,11.43302934,14.2129977,15.98483306,-12.26389168,-12.80483123,0.42109882,0.715242336
63,"IWM, DBC, VWO, VNQ, TIP, Cash",-3.31861385,-4.377333,-1.117657267,-1.479593231,11.39543118,12.50012991,-14.26036505,-24.87789764,-0.098079419,-0.118366228
64,"EFA, EWJ, EEM, SCZ, EWH, Cash",-28.82843601,-8.696698283,-10.69853317,-2.98188313,20.93409444,20.86850855,-40.70266985,-33.0602618,-0.511057844,-0.142889135
65,"EWH, VGK, BND, DBC, DBC, Cash",23.27119785,17.63036769,7.209183172,5.551310289,14.13961532,14.00497481,-15.54198902,-23.2135447,0.509857094,0.396381312
66,"IEF, EWJ, VNQ, VEU, VEU, Cash",40.39145357,26.01626508,11.9499787,7.997699248,13.33074268,16.71840603,-12.94984694,-22.49218263,0.896422576,0.4783769
67,"TIP, SCZ, GSG, IEF, DBC, Cash",26.62109858,86.68217829,8.169892377,23.08435831,17.44108088,16.08037393,-20.39832402,-14.1417759,0.4684281,1.435561039
68,"IVE, EWH, VEU, EWH, IEF, Cash",21.70412224,21.53993617,6.760144203,6.712157826,10.43376409,11.31085778,-7.945937817,-15.76529361,0.647910394,0.593426065
69,"VEU, QQQ, EEM, HYG, VWO, Cash",22.8943623,24.52789263,7.100026083,7.571605616,18.53389915,18.66862031,-30.42236993,-29.17802376,0.383083237,0.405579282
70,"EWH, TLT, QQQ, VEA, IWN, Cash",5.431851566,36.11573829,1.775517062,10.8038207,12.87230702,13.19779179,-18.26486223,-15.68575848,0.137933088,0.818608209
71,"IEF, VEA, AGG, AGG, GSG, Cash",12.36032743,8.290638206,3.953769076,2.685538009,13.74526023,13.56829674,-19.68470312,-21.90394038,0.287645996,0.197927423
72,"BND, EEM, GSG, SPY, LQD, Cash",2.592836431,24.25864402,0.856129612,7.501250258,12.12514207,11.0164907,-23.20512191,-15.75331792,0.0706078,0.680911051
73,"VWO, GSG, EWY, EEM, TIP, Cash",27.59726563,47.80387001,8.446648333,13.88297768,14.67995765,18.34074844,-20.39776546,-17.81909594,0.575386424,0.756947173
74,"EWH, AGG, EWH, TIP, VNQ, Cash",24.32908326,8.99900842,7.514433328,2.908545512,13.16624303,12.75921407,-17.28062149,-17.65171223,0.570734818,0.227956479
75,"BND, VWO, AGG, TLT, SPY, Cash",-19.61578058,-16.81351295,-7.013669992,-5.94643904,16.81872708,16.91653663,-39.02053103,-39.03127912,-0.417015506,-0.35151634
76,"GSG, EWH, SHY, SHY, SCZ, Cash",-19.34035402,-19.93147093,-6.901611444,-7.129179028,19.47606214,19.22581796,-37.49694401,-45.38812518,-0.354363803,-0.370812781
77,"VWO, IVE, QQQ, GLD, SCZ, Cash",15.81854373,41.36850905,5.012251358,12.22040495,14.85163496,14.30240273,-20.79151851,-13.94105948,0.337488187,0.854430209
78,"IWN, EFA, TIP, VWO, VEA, Cash",7.671418925,17.58792976,2.492097851,5.543829595,13.2697876,13.48730727,-28.68026267,-16.39559772,0.187802392,0.411040505
79,"VEA, HYG, GLD, VGK, VGK, Cash",14.67775253,34.87318555,4.662292799,10.46624211,13.58944098,15.19523776,-21.71045457,-24.59403148,0.343082015,0.68878436
80,"GSG, EWY, DBC, IWN, QQQ, Cash",31.4382071,25.3274546,9.531180377,7.808313864,14.78153978,14.63973075,-23.27190301,-26.8661465,0.644802945,0.533364581
81,"GLD, IEF, BIL, VNQ, BIL, Cash",11.7171742,18.95025806,3.755406757,5.943909556,15.62440232,15.4292787,-15.69817512,-15.19463139,0.240355226,0.385235737
82,"AGG, VTI, IVE, VEA, VNQ, Cash",7.056028233,30.24519525,2.294522743,9.190325578,12.44697014,12.14533435,-19.42902277,-12.11213927,0.184343878,0.756695972
83,"SPY, SPY, VTI, QQQ, EFA, Cash",61.77705167,58.05024235,17.35781349,16.45127395,17.613191,17.94117024,-16.09926956,-18.37927805,0.985500782,0.916956571
84,"EFA, IWN, IEF, EWH, SPY, Cash",19.02383977,0.463846805,5.971313131,0.154236192,10.86925301,10.92521097,-12.13386438,-21.49910829,0.549376588,0.014117457
85,"VEA, HYG, IWM, EWH, EEM, Cash",19.09925152,19.59211496,5.988044505,6.133778891,17.33091744,19.41703046,-24.17243547,-33.87620413,0.345512263,0.315896857
86,"TIP, VNQ, SCZ, VWO, VNQ, Cash",13.09944978,2.928865059,4.180796906,0.965137785,12.59967343,13.13970386,-20.39794701,-22.56068982,0.331817878,0.07345202
87,"QQQ, SCZ, SPY, QQQ, TIP, Cash",44.10244957,39.82856288,12.93854718,11.81181151,12.82998456,11.66095133,-18.95867643,-20.42703565,1.008461633,1.012937211
88,"VNQ, GSG, LQD, EFA, BND, Cash",5.372338988,-0.696607348,1.756398805,-0.232319891,13.53127219,14.28367003,-23.9741876,-24.12642347,0.129802932,-0.01626472
89,"AGG, IWN, EWY, TIP, SHY, Cash",11.34112386,12.32356672,3.639071489,3.942451727,16.85652214,16.29663015,-26.74652986,-40.12170262,0.215885072,0.241918218
90,"GLD, EFA, DBC, BND, SCZ, Cash",43.18549361,35.33601648,12.69870503,10.60238587,17.15420701,16.58821359,-15.90537327,-23.2246144,0.74026768,0.639151758
91,"LQD, EEM, EWH, SPY, QQQ, Cash",21.02615074,52.63568931,6.555541317,15.1084183,15.94453781,18.14452122,-24.36982585,-29.04005758,0.411146525,0.832671092
